uno_pc_time_sec,uno_edge_us,mega_evt_pc_time_sec,mega_evt_us,tag,value,dropped_reported
1778961453.936319,531140904,1778961441.736396,520194240,SENSOR,Wait Sensor,0
1778961454.496364,531731188,1778961443.014363,521470000,SENSOR_FAST,Gate,0
1778961455.180296,532424668,1778961443.262232,521724052,SENSOR,WM2,0
1778961462.117534,539319944,1778961444.061034,522511544,SENSOR,Lick Left,0
1778961462.117534,539320828,1778961449.635540,528092300,SENSOR,Lick Left,0
1778961462.117534,539321724,1778961452.769585,531222704,SENSOR,Lick Left,0
1778961462.117534,539322632,1778961453.890985,532345052,SENSOR,Left Back,0
1778961462.369589,539609604,1778961454.485664,532935892,SENSOR,Left Front,0
1778961463.927257,541153268,1778961455.180296,533630020,SENSOR,Return Left,0
1778961464.612058,541842924,1778961462.086346,540531768,SENSOR,WM1,0
1778961465.441603,542662304,1778961462.086346,540532652,CUE1,13000,0
1778961465.624314,542834076,1778961462.087421,540533548,CUE2,13000,0
1778961465.809682,543041944,1778961462.087421,540534456,CORRECT_TURN,Right,0
1778961466.752049,543976900,1778961462.378452,540821700,SENSOR,Wait Sensor,0
1778961471.489858,548706516,1778961463.913346,542366812,SENSOR,Wait Sensor,0
1778961472.112206,549286568,1778961464.612058,543057112,SENSOR,Wait Sensor,0
1778961472.610320,549826676,1778961465.424401,543877252,SENSOR,Wait Sensor,0
1778961474.977477,552147944,1778961465.596426,544049196,SENSOR_FAST,Gate,0
1778961474.977477,552148832,1778961465.809682,544257260,SENSOR,WM2,0
1778961474.977477,552149680,1778961466.739690,545193092,SENSOR,Lick Right,0
1778961474.977830,552150532,1778961471.474284,549927144,SENSOR,Right Back,0
1778961475.476660,552668696,1778961472.073255,550507740,SENSOR,Right Front,0
1778961476.848849,554066132,1778961472.597124,551048356,SENSOR,Return Right,0
1778961478.287464,555494268,1778961474.931168,553371800,SENSOR,WM1,0
1778961478.537215,555705040,1778961474.931168,553372688,CUE1,4000,0
1778961478.724246,555919812,1778961474.932357,553373536,CUE2,4000,0
1778961479.721451,556909236,1778961474.932357,553374388,CORRECT_TURN,Left,0
1778961481.464449,558638092,1778961475.445478,553893040,SENSOR,Wait Sensor,0
1778961483.081467,560241272,1778961476.848849,555291788,SENSOR,Wait Sensor,0
1778961483.833472,561018832,1778961478.272193,556721260,SENSOR,Wait Sensor,0
1778961484.199169,561405348,1778961478.489877,556932232,SENSOR_FAST,Gate,0
1778961486.006720,563197740,1778961478.708364,557147204,SENSOR,WM2,0
1778961486.006720,563198624,1778961479.691835,558137556,SENSOR,Lick Right,0
1778961486.006720,563199476,1778961481.417914,559868032,SENSOR,Lick Right,0
1778961486.006720,563200324,1778961483.034316,561472716,SENSOR,Right Back,0
1778961486.505099,563687864,1778961483.812107,562251004,SENSOR,Right Front,0
1778961489.509104,566719004,1778961484.199169,562637884,SENSOR,Return Right,0
1778961489.758429,566926768,1778961485.991333,564431952,SENSOR,WM1,0
1778961491.002023,568159560,1778961485.991333,564432836,CUE1,4000,0
1778961498.736649,575923452,1778961485.991333,564433688,CUE2,4000,0
1778961500.483269,577622628,1778961485.992658,564434540,CORRECT_TURN,Left,0
1778961500.982214,578171080,1778961486.473801,564922540,SENSOR,Wait Sensor,0
1778961501.229883,578411468,1778961487.803236,566239436,SENSOR,Wait Sensor,0
1778961503.469019,580659128,1778961489.327857,567766228,SENSOR,Wait Sensor,0
1778961505.588677,582725552,1778961489.509104,567956520,SENSOR_FAST,Gate,0
1778961511.194439,588365636,1778961489.727286,568164476,SENSOR,WM2,0
1778961524.846995,601989492,1778961490.955980,569398424,SENSOR,Lick Left,0
1778961526.403220,603527108,1778961498.736649,577169592,SENSOR,Lick Left,0
1778961528.833226,605977268,1778961500.436616,578870360,SENSOR,Lick Left,0
1778961531.325431,608441848,1778961500.982214,579419328,SENSOR,Lick Left,0
1778961532.319656,609424896,1778961501.228887,579659940,SENSOR,Lick Left,0
1778961536.565364,613656216,1778961503.469019,581909708,SENSOR,Lick Left,0
1778961538.189961,615325848,1778961505.542357,583978068,SENSOR,Lick Left,0
1778961538.938368,616024568,1778961511.182299,589623440,SENSOR,Left Back,0
1778961539.623506,616747808,1778961524.833656,603260056,SENSOR,Left Back,0
1778961541.943108,619072144,1778961526.372455,604799112,SENSOR,Lick Left,0
1778961541.943108,619073032,1778961528.817290,607251568,SENSOR,Lick Left,0
1778961541.943108,619073884,1778961531.294595,609718456,SENSOR,Lick Left,0
1778961541.943108,619074736,1778961532.272372,610702424,SENSOR,Lick Left,0
1778961542.504672,619609388,1778961536.504387,614937708,SENSOR,Lick Left,0
1778961543.884724,621016088,1778961538.174296,616608900,SENSOR,Left Back,0
1778961544.257707,621391456,1778961538.875499,617308272,SENSOR,Left Front,0
1778961544.566623,621677968,1778961539.608647,618032192,SENSOR,Return Left,0
1778961545.313274,622413496,1778961541.927490,620358700,SENSOR,WM1,0
